TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE
Co-op for sale,258888,1,1,650,40.617279,-74.026753
Townhouse for sale,660000,3,2,1283,40.851494,-73.849223
Townhouse for sale,318888,2,2,1270,40.638459,-74.164663
Co-op for sale,385000,2,2,1100,40.88277,-73.914825
Co-op for sale,349000,1,1,1017,40.578169,-73.858671
House for sale,968000,3,2,1344,40.73094,-73.868381
Condo for sale,238000,1,1,650,40.61096,-74.060351
House for sale,911600,3,2,1596,40.768507,-73.824607
House for sale,598000,3,2,1144,40.87796,-73.901167
Condo for sale,472000,1,1,700,40.73531,-73.881251
Condo for sale,472000,1,1,700,40.73531,-73.881251
House for sale,598000,3,2,1144,40.87796,-73.901167
Multi-family home for sale,680000,3,2,1535,40.67137,-73.869277
Condo for sale,200000,1,2,637,40.838965,-73.861349
Co-op for sale,210000,2,1,1000,40.734848,-73.823251
Townhouse for sale,525000,2,2,996,40.546286,-74.195582
House for sale,519000,3,2,1200,40.651735,-73.830298
House for sale,728900,4,1,960,40.616316,-74.124833
Co-op for sale,299999,2,2,1300,40.78086,-73.7835
Co-op for sale,299999,2,2,1300,40.78086,-73.7835
Condo for sale,599000,2,2,1095,40.578426,-73.985367
House for sale,725000,3,2,2410,40.896555,-73.847673
House for sale,639000,2,2,862,40.617525,-73.925523
House for sale,950000,4,4,2060,40.788491,-73.851578
Co-op for sale,279000,3,1,1400,40.856354,-73.865974
House for sale,438000,2,2,1354,40.562804,-74.185383
Co-op for sale,100000,3,1,512,40.60429,-73.747829
Condo for sale,625000,2,2,995,40.778036,-73.780899
House for sale,350000,3,2,1520,40.675827,-73.882898
House for sale,599000,3,2,1208,40.689212,-73.863443
Co-op for sale,279900,1,1,900,40.830122,-73.920261
Co-op for sale,165000,1,1,875,40.899423,-73.870638
Condo for sale,625000,2,1,825,40.744346,-73.957101
Co-op for sale,279900,1,1,900,40.830122,-73.920261
Multi-family home for sale,580000,5,2,1780,40.587442,-73.967572
Condo for sale,979000,3,2,1272,40.629598,-74.027557
House for sale,499000,4,2,1752,40.871727,-73.905085
Co-op for sale,245000,2,1,900,40.6015,-73.93243
Co-op for sale,425000,3,1,450,40.746481,-74.001884
House for sale,799000,3,2,2340,40.588791,-74.14448
Multi-family home for sale,725000,4,2,1700,40.668194,-73.874905
Co-op for sale,99000,1,1,850,40.83645,-73.924271
House for sale,399000,3,2,1601,40.71155,-73.74643
Condo for sale,558000,1,1,751,40.619526,-74.031158
Co-op for sale,429000,2,2,1450,40.886861,-73.912973
Condo for sale,399900,2,2,853,40.580379,-74.157806
House for sale,499900,3,1,1040,40.628187,-74.160673
Co-op for sale,429000,2,2,1450,40.886861,-73.912973
Condo for sale,255500,1,1,950,40.60775,-74.074309
Multi-family home for sale,471300,4,2,2175,40.662939,-73.887815
Co-op for sale,220000,1,1,500,40.669945,-73.94294
Co-op for sale,295000,2,1,950,40.677845,-73.733501
Co-op for sale,399000,2,2,1050,40.577692,-73.973731
Co-op for sale,219999,2,1,800,40.883379,-73.907461
House for sale,639000,4,2,1856,40.577496,-74.1181
House for sale,499999,3,2,1763,40.617581,-74.085832
Co-op for sale,888000,3,2,1600,40.724514,-73.845844
Co-op for sale,150000,3,1,600,40.73645,-73.858483
Condo for sale,354900,2,1,673,40.634367,-74.031134
House for sale,969000,3,2,1776,40.716599,-73.883495
Condo for sale,530000,1,1,538,40.59546,-73.996842
House for sale,450000,3,2,1122,40.840831,-73.785668
Condo for sale,475000,2,1,1296,40.552776,-74.15393
Co-op for sale,125000,3,1,600,40.845596,-73.826422
House for sale,215000,3,2,1509,40.698227,-73.760587
Co-op for sale,279000,2,2,1050,40.898666,-73.873837
Condo for sale,785000,2,2,968,40.603915,-73.998085
House for sale,669000,3,2,1312,40.60138,-74.138096
Multi-family home for sale,530000,2,2,1672,40.626863,-74.147645
Co-op for sale,339000,1,1,1085,40.61712,-74.03852
House for sale,800000,3,2,1224,40.612559,-73.923043
Co-op for sale,189000,1,1,700,40.906568,-73.896805
House for sale,999999,2,2,1198,40.780343,-73.947266
Condo for sale,575000,3,2,877,40.701979,-73.894209
Co-op for sale,175000,1,1,800,40.874295,-73.883753
Co-op for sale,285000,1,1,750,40.619581,-73.970636
Multi-family home for sale,849000,5,3,2460,40.593943,-73.774836
House for sale,549000,3,2,1250,40.851533,-73.919786
Co-op for sale,729000,2,2,1700,40.757799,-73.715956
Multi-family home for sale,600000,4,2,1728,40.896179,-73.839487
House for sale,599000,3,1,1340,40.686098,-73.799886
Multi-family home for sale,599000,5,2,2268,40.683525,-73.914108
Condo for sale,725000,3,2,1185,40.617257,-73.961101
Multi-family home for sale,798888,3,2,1500,40.547493,-74.20985
House for sale,529000,3,1,1800,40.7213,-73.75444
Multi-family home for sale,999998,3,2,2400,40.511494,-74.238269
Co-op for sale,245000,3,1,260,40.748134,-73.970881
Condo for sale,455000,2,1,939,40.559953,-74.119826
Multi-family home for sale,999900,4,2,2024,40.610184,-74.009209
House for sale,395000,2,1,666,40.57245,-74.090972
Condo for sale,620000,1,1,430,40.77744,-73.97931
Condo for sale,849000,3,2,1241,40.604405,-73.975194
Condo for sale,495000,2,1,800,40.704552,-73.835612
House for sale,675000,3,2,1222,40.627717,-74.086027
Condo for sale,999000,3,1,600,40.771745,-73.990051
Condo for sale,429000,1,1,640,40.575536,-73.973591
Co-op for sale,174000,1,1,800,40.599708,-73.934497
House for sale,898000,5,4,2828,40.6816,-73.894853
Condo for sale,575000,2,2,1253,40.582487,-73.821344
Co-op for sale,170000,2,1,850,40.881392,-73.8757
House for sale,749000,3,2,1332,40.63339,-74.096983
Co-op for sale,209900,1,1,780,40.586901,-73.932949
Co-op for sale,199900,1,1,925,40.863113,-73.898323
House for sale,919000,3,2,1565,40.633595,-73.967817
Co-op for sale,289999,1,1,830,40.87999,-73.919862
Condo for sale,680000,2,2,1058,40.794226,-73.795068
Co-op for sale,899000,2,2,1300,40.620502,-74.039697
Co-op for sale,169000,1,1,850,40.71066,-73.79869
Co-op for sale,169000,1,1,850,40.71066,-73.79869
Townhouse for sale,499000,3,2,1400,40.633314,-74.145909
House for sale,649000,4,2,1120,40.569497,-74.123744
Co-op for sale,335000,1,1,756,40.627337,-74.026202
Multi-family home for sale,980000,4,4,3068,40.812913,-73.846184
House for sale,688000,3,2,1344,40.57734,-73.994329
Co-op for sale,375000,1,1,500,40.758122,-73.96707
Condo for sale,568000,2,2,1253,40.582804,-73.821081
Co-op for sale,349000,1,1,800,40.635825,-73.973308
Townhouse for sale,899000,3,2,1400,40.736806,-73.902615
House for sale,449999,4,3,1217,40.632902,-74.120945
Townhouse for sale,495000,3,2,1280,40.639648,-74.115199
House for sale,749000,4,3,2150,40.627811,-74.146957
House for sale,875000,4,3,2129,40.747464,-73.704456
Condo for sale,849000,2,1,720,40.761427,-73.982584
Co-op for sale,549000,3,1,1200,40.635832,-74.029137
Co-op for sale,445000,3,2,1250,40.587191,-73.984097
House for sale,399998,4,2,1252,40.617168,-74.083714
House for sale,650000,4,2,1482,40.650336,-73.944007
House for sale,880000,3,4,2100,40.551314,-74.167003
House for sale,880000,3,4,2100,40.551314,-74.167003
Co-op for sale,259000,2,1,950,40.82487,-73.922983
House for sale,897888,3,2,1260,40.72929,-73.894537
House for sale,575000,4,2,1604,40.674001,-73.874307
House for sale,575000,4,2,1604,40.674001,-73.874307
House for sale,897888,3,2,1260,40.72929,-73.894537
Condo for sale,378888,1,1,718,40.620478,-74.110926
Condo for sale,750000,3,2,1027,40.792925,-73.940414
House for sale,698888,3,2,1440,40.571472,-74.119397
Condo for sale,850000,1,1,626,40.73221,-73.953584
Co-op for sale,395000,1,1,550,40.786765,-73.975335
Co-op for sale,699000,2,1,800,40.789657,-73.967323
House for sale,689000,3,2,1484,40.631307,-74.135683
Condo for sale,799000,1,1,684,40.746232,-73.978689
House for sale,680000,3,2,2200,40.552927,-74.159159
House for sale,580000,6,3,2940,40.66097,-73.911193
Townhouse for sale,700000,4,2,2266,40.643029,-73.924857
House for sale,550000,3,2,1410,40.58823,-74.097579
Townhouse for sale,315000,3,2,1344,40.6364,-74.154146
Co-op for sale,249999,2,1,750,40.615233,-73.917694
House for sale,220000,3,2,1396,40.628358,-73.933973
House for sale,799999,5,4,2288,40.554682,-74.162553
Co-op for sale,311000,1,1,780,40.575628,-73.966783
Condo for sale,649000,3,2,804,40.703164,-73.928244
Co-op for sale,159000,1,1,800,40.869751,-73.905391
Co-op for sale,669000,3,2,1480,40.589483,-73.939537
Co-op for sale,305000,1,1,750,40.634727,-74.036817
Co-op for sale,339000,2,2,906,40.822472,-73.81106
Condo for sale,849500,2,2,975,40.79464,-73.943416
Condo for sale,699000,2,2,967,40.768446,-73.831389
Condo for sale,999000,2,2,1262,40.834716,-73.948152
House for sale,669900,3,2,1376,40.707756,-73.778789
Co-op for sale,299000,1,1,750,40.636031,-74.03653
House for sale,988000,5,2,3244,40.654888,-73.927542
Co-op for sale,279000,2,1,810,40.736568,-73.776389
House for sale,988000,3,3,1311,40.761543,-73.862145
Co-op for sale,735000,1,1,800,40.79382,-73.971341
House for sale,968000,4,2,2550,40.847587,-73.853875
Co-op for sale,320000,2,2,1200,40.845596,-73.826422
Co-op for sale,228888,1,1,900,40.709735,-73.818829
Co-op for sale,699000,2,1,1100,40.659976,-73.962298
House for sale,699000,3,2,1296,40.616513,-73.917238
Co-op for sale,538888,3,2,1500,40.780782,-73.774354
House for sale,574999,3,2,1040,40.619479,-74.077813
Co-op for sale,270000,3,1,275,40.669235,-73.976573
House for sale,675000,4,3,1832,40.867225,-73.857424
Co-op for sale,149000,1,1,750,40.901002,-73.862705
Co-op for sale,299999,2,1,863,40.822441,-73.811042
Co-op for sale,536000,2,2,1200,40.888135,-73.916234
House for sale,799000,3,2,2050,40.609007,-73.930758
Co-op for sale,165000,1,1,625,40.834499,-73.860525
Condo for sale,595000,3,1,721,40.763031,-73.949236
House for sale,699999,5,2,2218,40.860201,-73.865315
House for sale,899000,4,2,1672,40.711495,-73.815221
House for sale,549000,3,2,1152,40.614469,-74.159239
House for sale,768000,5,2,1870,40.632915,-74.132873
House for sale,949000,4,2,2476,40.60061,-74.167186
Multi-family home for sale,849000,8,3,4428,40.875133,-73.86876
Multi-family home for sale,750000,1,1,630,40.803213,-73.964808
House for sale,638000,3,2,1728,40.814845,-73.815956
Co-op for sale,239000,1,1,801,40.757799,-73.715956
Co-op for sale,349000,2,1,800,40.669964,-73.942802
Condo for sale,215000,2,1,789,40.839634,-73.856377
Condo for sale,215000,2,1,789,40.839634,-73.856377
Co-op for sale,349000,2,1,800,40.669964,-73.942802
House for sale,850000,3,2,1152,40.590346,-74.163092
Condo for sale,749000,1,2,879,40.775568,-73.903211
Townhouse for sale,549999,3,2,1677,40.628077,-74.157611
Condo for sale,365000,3,2,920,40.815638,-73.824434
Condo for sale,695000,2,2,845,40.688685,-73.94023
Condo for sale,699000,3,2,1779,40.610436,-73.977907
Co-op for sale,165000,3,1,550,40.878087,-73.917051
Condo for sale,779000,1,1,517,40.783511,-73.977678
House for sale,285000,3,2,1536,40.642311,-74.094333
Condo for sale,199999,1,1,750,40.655858,-73.937783
Condo for sale,569000,1,1,490,40.757626,-73.82311
Co-op for sale,183000,1,1,831,40.855257,-73.86938
Condo for sale,650000,3,1,1632,40.577069,-74.161888
Multi-family home for sale,785000,7,3,3388,40.842328,-73.871023
Condo for sale,435000,1,1,661,40.719818,-73.84124
Condo for sale,799000,2,2,922,40.813892,-73.947667
Co-op for sale,205000,1,1,1000,40.885008,-73.907002
House for sale,897000,3,2,1664,40.613769,-73.941665
Co-op for sale,575000,3,2,1350,40.731342,-73.848907
Condo for sale,798000,2,2,1190,40.788588,-73.787246
House for sale,475000,5,2,1790,40.81029,-73.857367
Condo for sale,399000,1,1,616,40.730136,-73.871999
House for sale,780000,3,3,1344,40.689142,-73.851019
Condo for sale,450000,1,1,776,40.640366,-74.073757
House for sale,765000,3,4,1888,40.631163,-74.142203
Co-op for sale,399000,3,2,1492,40.78127,-73.78434
House for sale,948000,4,2,1492,40.609,-74.008104
Condo for sale,550000,1,1,720,40.739219,-73.874525
Co-op for sale,549999,3,1,1020,40.75179,-73.88467
Multi-family home for sale,799000,6,4,2200,40.598207,-73.791176
Condo for sale,290900,2,1,850,40.905841,-73.898183
Condo for sale,474900,2,2,1054,40.884744,-73.913248
Condo for sale,480000,1,1,506,40.609879,-73.953685
House for sale,635000,3,2,1200,40.632216,-73.894288
Condo for sale,318000,1,1,638,40.569878,-74.122436
Multi-family home for sale,875000,4,2,2034,40.866471,-73.845984
Multi-family home for sale,739900,4,2,2000,40.606658,-74.163929
Condo for sale,275000,2,2,969,40.628058,-73.91711
Co-op for sale,435000,2,1,925,40.723254,-73.857617
Co-op for sale,220000,2,1,922,40.875811,-73.876593
Co-op for sale,135000,1,1,792,40.60308,-73.74755
Co-op for sale,468000,2,1,1200,40.74559,-73.87789
Co-op for sale,318000,1,1,748,40.760495,-73.781588
Condo for sale,649000,2,1,705,40.771533,-73.927381
House for sale,799000,3,2,1816,40.555769,-74.132736
Condo for sale,504000,3,2,1004,40.868816,-73.835615
Multi-family home for sale,949000,7,3,2745,40.81362,-73.863328
Co-op for sale,319999,1,1,660,40.607701,-73.958782
Condo for sale,999000,3,2,1301,40.611653,-73.978693
Co-op for sale,475000,1,1,950,40.75054,-73.88851
House for sale,479900,3,2,1088,40.656748,-73.880256
Condo for sale,615000,2,4,1568,40.577069,-74.161888
House for sale,659000,3,2,1468,40.499798,-74.241166
Co-op for sale,249000,2,1,900,40.903513,-73.900204
Co-op for sale,295000,1,2,980,40.757799,-73.715956
Co-op for sale,289000,1,1,750,40.576432,-73.964361
Co-op for sale,187000,4,1,1076,40.822427,-73.89004
Co-op for sale,689000,3,2,1500,40.756392,-73.907136
House for sale,889000,3,2,2052,40.531257,-74.157737
Co-op for sale,260000,1,1,800,40.589225,-73.94999
Condo for sale,749000,1,2,908,40.719001,-73.836503
Condo for sale,700000,3,2,1245,40.886134,-73.90767
Condo for sale,297000,3,1,600,40.575628,-73.966783
Co-op for sale,455000,1,1,725,40.776032,-73.948792
Co-op for sale,475000,2,2,1150,40.579418,-73.970908
Co-op for sale,259000,1,1,625,40.614733,-74.033781
Townhouse for sale,899000,4,3,1960,40.727846,-73.720774
Co-op for sale,345000,3,2,1100,40.908552,-73.896916
House for sale,669000,3,2,2191,40.613624,-74.130534
Co-op for sale,599000,2,2,1350,40.786816,-73.955752
Condo for sale,479900,1,1,550,40.793409,-73.940783
Co-op for sale,188000,3,1,300,40.632771,-74.022251
Condo for sale,479900,1,1,550,40.793409,-73.940783
House for sale,739999,4,2,1976,40.60214,-74.071315
Condo for sale,875000,2,2,1050,40.616554,-74.024429
House for sale,499000,3,2,1786,40.617853,-74.075886
House for sale,855000,3,2,1383,40.57254,-74.100757
Co-op for sale,525000,2,1,1300,40.575194,-73.966998
Condo for sale,715000,2,2,1021,40.584606,-73.942605
Co-op for sale,599000,1,1,755,40.76431,-73.99133
House for sale,749000,4,3,2013,40.610975,-74.071021
House for sale,590000,3,1,1360,40.864258,-73.841481
House for sale,868000,3,2,1452,40.75928,-73.793953
House for sale,270000,3,2,1158,40.8839,-73.864167
House for sale,765000,3,2,2500,40.836502,-73.891961
House for sale,588000,3,1,1080,40.588725,-73.920849
Multi-family home for sale,805000,6,2,2042,40.852711,-73.911601
House for sale,929000,3,2,1309,40.617429,-73.961513
House for sale,649000,3,2,1152,40.544553,-74.159323
Co-op for sale,439900,2,1,1000,40.731896,-73.859965
House for sale,459999,1,1,640,40.842637,-73.816875
Co-op for sale,650000,2,2,1200,40.72165,-73.84119
Co-op for sale,589000,2,2,1100,40.61201,-74.034581
House for sale,515000,3,1,882,40.684282,-73.727858
Multi-family home for sale,750000,2,3,1530,40.613288,-74.128148
Multi-family home for sale,900000,5,3,2487,40.853323,-73.917175
Co-op for sale,239000,3,1,450,40.614166,-74.035383
Condo for sale,299900,1,1,525,40.880825,-73.917309
Co-op for sale,439999,1,2,1215,40.756476,-73.721201
House for sale,899000,4,2,1224,40.598534,-74.127001
Co-op for sale,234900,1,1,753,40.757799,-73.715956
Co-op for sale,525000,2,1,1000,40.639376,-74.035291
Co-op for sale,305000,2,1,600,40.776712,-73.907764
Condo for sale,750000,1,1,943,40.687025,-74.000495
House for sale,599000,3,2,1052,40.875021,-73.854737
Co-op for sale,175000,1,1,800,40.598047,-73.935432
House for sale,999000,4,4,3570,40.589866,-74.15159
House for sale,849999,2,2,1365,40.562056,-74.105254
Co-op for sale,136999,1,1,750,40.853382,-73.865155
Condo for sale,699000,2,2,1320,40.578038,-73.836668
Co-op for sale,825000,1,1,750,40.746806,-73.979748
Condo for sale,408000,1,1,787,40.585628,-73.987985
Condo for sale,559000,1,1,830,40.57955,-73.96587
Co-op for sale,379000,2,1,1000,40.621168,-73.955958
Co-op for sale,815000,1,1,630,40.740038,-73.987668
Co-op for sale,599000,2,2,1200,40.61869,-74.032363
Co-op for sale,280000,2,2,975,40.865131,-73.906801
Multi-family home for sale,875000,9,6,5712,40.648807,-73.929392
House for sale,594900,3,2,1224,40.63818,-73.907153
Co-op for sale,309000,1,2,1074,40.757797,-73.71596
House for sale,554900,3,2,1890,40.884929,-73.86131
Condo for sale,399000,1,1,561,40.583957,-73.942085
Condo for sale,675000,2,2,904,40.732471,-73.86708
Condo for sale,164999,3,1,400,40.644912,-74.078739
Co-op for sale,715000,3,1,983,40.732933,-73.985865
House for sale,949900,4,2,1680,40.621756,-74.141315
House for sale,949900,4,2,1680,40.621756,-74.141315
Townhouse for sale,849000,3,2,1296,40.714992,-73.877528
Co-op for sale,560000,1,1,700,40.746765,-73.976998
Co-op for sale,255000,1,1,650,40.72915,-73.84944
House for sale,799999,3,4,2337,40.513375,-74.202668
Condo for sale,198000,1,1,1000,40.618948,-74.107158
House for sale,485000,2,1,560,40.585215,-73.937245
House for sale,589000,2,2,1808,40.538384,-74.143309
Co-op for sale,259000,3,1,250,40.750236,-73.970757
Co-op for sale,219000,3,1,550,40.621071,-73.969227
Condo for sale,699000,2,2,1519,40.816336,-73.943445
Co-op for sale,425000,3,2,1300,40.737923,-73.847072
Co-op for sale,279999,1,1,790,40.58444,-73.931612
Condo for sale,980000,3,3,1574,40.605067,-73.977625
Co-op for sale,250000,1,2,740,40.91273,-73.902225
Co-op for sale,309000,1,1,850,40.72915,-73.84944
Condo for sale,950000,3,2,1401,40.605067,-73.977625
Co-op for sale,529000,2,2,1200,40.743883,-73.887387
Townhouse for sale,478888,2,2,1159,40.587231,-74.16413
House for sale,728000,2,1,1440,40.773157,-73.802759
Co-op for sale,199900,3,1,550,40.72915,-73.84944
Co-op for sale,399990,2,1,1000,40.721357,-73.841401
Multi-family home for sale,850000,3,3,2646,40.578695,-73.962651
Co-op for sale,215000,3,1,625,40.731842,-73.857482
Co-op for sale,199900,3,1,550,40.72915,-73.84944
Co-op for sale,130000,1,1,720,40.852726,-73.867037
Condo for sale,690000,2,2,942,40.608802,-73.98057
Co-op for sale,185000,2,1,854,40.597724,-73.935218
Multi-family home for sale,928888,4,2,1480,40.787297,-73.848086
Condo for sale,780000,2,2,955,40.756558,-73.831704
Co-op for sale,599000,2,1,1100,40.748758,-73.978279
Condo for sale,639999,3,2,1180,40.887421,-73.903418
House for sale,749000,3,2,1600,40.544867,-74.159159
House for sale,620000,3,2,1400,40.846435,-73.83583
Co-op for sale,339000,2,1,822,40.822497,-73.81109
House for sale,938000,3,2,1836,40.772306,-73.889605
House for sale,919000,6,3,5400,40.641094,-73.949093
Co-op for sale,425000,3,2,1150,40.895291,-73.908931
Co-op for sale,799000,2,2,1000,40.749029,-73.971996
Co-op for sale,475000,1,1,750,40.693958,-73.99437
Co-op for sale,325000,3,1,1200,40.590397,-73.935927
Co-op for sale,220000,1,1,750,40.755448,-73.73196
Multi-family home for sale,949000,7,6,3733,40.828299,-73.91272
House for sale,649000,3,3,1456,40.597298,-74.134727
House for sale,995000,2,2,800,40.603454,-73.975668
House for sale,649000,3,3,1456,40.597298,-74.134727
House for sale,995000,2,2,800,40.603454,-73.975668
House for sale,499000,2,2,1146,40.895515,-73.851075
Co-op for sale,349000,2,1,800,40.58444,-73.931612
House for sale,160000,2,1,900,40.628176,-74.179723
Condo for sale,370000,3,1,462,40.609637,-73.954415
Co-op for sale,600000,1,1,715,40.804369,-73.964408
Co-op for sale,329999,2,1,950,40.821421,-73.875979
Co-op for sale,390000,2,1,1100,40.715565,-73.831115
Co-op for sale,239000,1,1,700,40.578254,-73.953479
Co-op for sale,839000,3,2,1120,40.850106,-73.938786
Co-op for sale,379000,2,1,900,40.728276,-73.820885
Multi-family home for sale,365000,4,3,1600,40.635289,-74.090616
Condo for sale,950000,2,2,1025,40.766913,-73.934289
Condo for sale,209000,1,1,658,40.8391,-73.856669
Co-op for sale,429000,2,1,850,40.617623,-74.038637
House for sale,699000,3,3,2835,40.632481,-73.930678
Condo for sale,450000,1,1,724,40.610069,-73.953748
House for sale,649000,3,2,1257,40.649922,-73.945373
House for sale,699000,3,3,2835,40.632481,-73.930678
House for sale,399888,3,4,1613,40.886589,-73.858504
Co-op for sale,650000,2,1,1060,40.851162,-73.940847
Co-op for sale,299000,1,1,850,40.731332,-73.828467
Co-op for sale,449000,1,2,1213,40.756476,-73.721201
Co-op for sale,499000,2,1,900,40.627337,-74.026202
House for sale,699000,3,2,1700,40.545028,-74.218133
Condo for sale,625000,4,2,1268,40.663477,-73.936924
Multi-family home for sale,949000,4,2,1600,40.645235,-73.956937
Condo for sale,625000,4,2,1268,40.663477,-73.936924
Co-op for sale,525000,3,1,322,40.78367,-73.970927
Multi-family home for sale,899999,4,2,2194,40.61722,-74.132067
House for sale,925000,2,2,1077,40.676481,-73.944673
Co-op for sale,279000,1,1,600,40.622057,-74.020051
Condo for sale,560000,3,1,622,40.642383,-74.002033
House for sale,999000,3,2,1260,40.579249,-73.847087
House for sale,948888,3,1,950,40.578696,-73.938485
Condo for sale,735000,2,2,832,40.685077,-73.910735
Co-op for sale,295000,2,1,613,40.823352,-73.951573
Co-op for sale,625000,1,1,650,40.739522,-73.980231
Condo for sale,399000,3,1,391,40.766824,-73.923973
Co-op for sale,149999,1,1,694,40.904998,-73.906572
Condo for sale,650000,3,1,550,40.793559,-73.965601
Co-op for sale,399000,2,1,1090,40.74559,-73.87789
Co-op for sale,299000,3,1,394,40.757176,-73.965676
Condo for sale,239500,1,1,864,40.641437,-74.080225
Co-op for sale,235000,1,1,850,40.885838,-73.908859
House for sale,629000,3,3,1280,40.608696,-74.085947
House for sale,380000,3,2,600,40.678941,-73.871298
Townhouse for sale,530000,3,2,1280,40.615566,-74.080285
Condo for sale,990000,1,1,791,40.780472,-73.987143
Condo for sale,990000,1,1,791,40.780472,-73.987143
Condo for sale,350000,1,1,738,40.578183,-74.162687
Co-op for sale,245000,3,1,713,40.737923,-73.847072
Co-op for sale,189900,1,1,600,40.594138,-73.963948
Multi-family home for sale,999000,5,4,1980,40.823289,-73.816944
Co-op for sale,229000,1,1,650,40.630829,-74.025017
House for sale,730000,4,3,1648,40.6987,-73.761794
Condo for sale,499000,2,1,825,40.620502,-74.039697
Condo for sale,450000,2,1,1249,40.589495,-73.789635
House for sale,558000,3,2,1108,40.546336,-74.142003
Condo for sale,539000,2,2,821,40.614582,-73.946315
Co-op for sale,99000,1,1,859,40.836662,-73.923959
Co-op for sale,995000,3,2,1300,40.776763,-73.962509
Co-op for sale,345000,2,1,1000,40.587191,-73.984097
House for sale,879000,4,2,2240,40.570809,-74.117917
House for sale,939999,3,2,3096,40.714633,-73.73058
Co-op for sale,500000,3,2,1200,40.732991,-73.858624
Co-op for sale,370000,2,1,800,40.603329,-74.016081
Condo for sale,595000,1,1,574,40.808054,-73.942607
Co-op for sale,289000,1,1,520,40.633994,-74.036347
Co-op for sale,585000,3,1,1050,40.751251,-73.881443
House for sale,699000,3,2,1538,40.605961,-74.16448
Condo for sale,340000,1,1,850,40.577769,-73.971987
Co-op for sale,199999,1,1,550,40.607962,-73.954943
Co-op for sale,799000,2,2,1043,40.698571,-73.988191
House for sale,888888,4,3,2088,40.546995,-74.141376
Co-op for sale,599000,1,1,800,40.714282,-73.979218
House for sale,628000,3,2,960,40.588304,-74.092876
Condo for sale,593000,2,2,1312,40.615185,-74.064636
Condo for sale,499900,2,2,960,40.574187,-74.096019
Condo for sale,540000,3,1,509,40.747849,-73.97759
Co-op for sale,299000,1,1,800,40.736516,-73.868796
Multi-family home for sale,850000,6,3,2230,40.876098,-73.902119
Multi-family home for sale,899000,4,3,1892,40.634461,-73.904233
Condo for sale,579000,2,2,750,40.75467,-73.821996
House for sale,585000,3,2,1008,40.63023,-74.142966
House for sale,599000,3,2,780,40.588054,-74.085878
House for sale,779000,4,2,2188,40.644505,-74.081897
Co-op for sale,564900,1,1,769,40.697478,-73.988335
Multi-family home for sale,685000,4,2,2000,40.819451,-73.900179
Co-op for sale,279999,2,1,666,40.58444,-73.931612
Condo for sale,520000,2,1,741,40.853674,-73.934728
House for sale,599900,3,2,1248,40.592226,-74.150832
Multi-family home for sale,885000,6,5,2680,40.823678,-73.870522
Co-op for sale,258000,1,1,650,40.575999,-73.960785
Condo for sale,700000,2,2,1124,40.794226,-73.795068
Condo for sale,500000,1,1,720,40.798388,-73.937888
House for sale,695000,3,2,1926,40.671364,-73.867348
Co-op for sale,375000,1,1,1185,40.638118,-74.073964
Co-op for sale,389888,1,1,730,40.747956,-73.892949
Co-op for sale,285000,1,1,900,40.581106,-73.966749
Condo for sale,674999,3,1,1299,40.640366,-74.073757
House for sale,759000,3,2,1260,40.618435,-73.911342
Condo for sale,995000,2,2,1030,40.665551,-73.992217
Co-op for sale,239000,1,1,800,40.880985,-73.910233
House for sale,868000,3,2,1484,40.58024,-74.101812
House for sale,749000,3,2,1800,40.610565,-74.123799
Multi-family home for sale,775000,5,2,1600,40.816662,-73.813945
Condo for sale,700000,1,2,900,40.821158,-73.944548
Multi-family home for sale,775000,5,2,1600,40.816662,-73.813945
House for sale,749000,3,2,1800,40.610565,-74.123799
Condo for sale,450000,3,1,494,40.646643,-74.011966
Co-op for sale,779000,1,1,800,40.792004,-73.976782
House for sale,509000,3,1,1100,40.818143,-73.810545
Condo for sale,499000,1,1,845,40.611469,-73.954103
Condo for sale,395000,1,1,519,40.726762,-73.829461
Multi-family home for sale,760000,4,2,1490,40.610016,-74.075473
House for sale,988000,4,3,1552,40.726478,-73.809351
Condo for sale,528000,2,1,753,40.726762,-73.829461
Condo for sale,420000,2,1,840,40.594561,-74.159664
Co-op for sale,268000,1,1,850,40.774198,-73.825668
House for sale,729999,3,2,1056,40.676243,-73.794518
House for sale,848000,3,3,1080,40.618024,-73.997109
Co-op for sale,213000,3,1,430,40.633991,-73.968907
Multi-family home for sale,795000,3,2,1725,40.678165,-73.918508
Co-op for sale,649000,2,2,1500,40.756834,-73.715194
Co-op for sale,439000,2,1,900,40.787747,-73.781071
Multi-family home for sale,989000,8,5,3252,40.885044,-73.8563
Co-op for sale,318888,1,1,875,40.736926,-73.857761
Co-op for sale,799000,2,2,1549,40.756834,-73.715194
Co-op for sale,489000,2,1,950,40.620502,-74.039697
Co-op for sale,398000,2,1,900,40.633768,-74.030547
Condo for sale,899999,3,3,1750,40.765481,-73.817873
Condo for sale,899999,3,3,1750,40.765481,-73.817873
Townhouse for sale,595000,1,2,846,40.674963,-73.940184
Condo for sale,330000,1,1,726,40.629934,-74.099924
Co-op for sale,345000,2,1,1000,40.881927,-73.917282
Condo for sale,999000,2,2,1187,40.756,-73.8293
Co-op for sale,135000,2,1,750,40.822427,-73.89004
Condo for sale,261250,2,1,857,40.824597,-73.88984
Condo for sale,728000,3,2,1450,40.743679,-73.89832
